Decision Item,Source ID,Source Type,Original Alignment,Case,Original Statement,Decision Substatement,Decision,Requirement Status,Implementation Status,Delivery,Finding Group,Technical Debt Ref,Rationale,E4 Source Evidence,Audit Notes,Affected Documents
FR-090,FR-090,Requirement,MISMATCH,Case B,共通Result Envelopeにfamily、type、schema version、execution、stageを保持する,Canonical Result ownership/descriptor contract,D1,ACTIVE,IMPLEMENTED,BASELINE,canonical_result_artifact,,family/schema_version/stageの一律direct ownershipを撤回しcurrent canonical Result modelへ訂正する。,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Canonical Result does not directly contain family or generic schema_version; execution result may have no stage_execution_id.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 21_logical_data_design.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-092,FR-092,Requirement,MISMATCH,Case B,Artifactにfamily、type、schema version、media type、hash、sizeを保持する,Canonical Artifact descriptor/ownership contract,D1,ACTIVE,IMPLEMENTED,BASELINE,canonical_result_artifact,,family/schema_versionの一律direct ownershipを撤回しcurrent Artifact contractへ訂正する。,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Canonical Artifact contains type/media/hash/size but not family or generic schema_version.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 21_logical_data_design.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
NFR-013,NFR-013,Requirement,MISMATCH,Case B,すべてのSpec、Plan、Result、Artifact descriptorにschema versionを持つ,Versioning at contract boundaries rather than generic field on every entity,D1,ACTIVE,IMPLEMENTED,BASELINE,canonical_result_artifact,,各versioned contract境界でversionを識別するcurrent modelを正とする。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Spec/Plan have schema versions, but canonical Result/Artifact descriptors do not each directly carry a generic schema_version.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 21_logical_data_design.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-108,FR-108,Requirement,MISMATCH,Case B,Result、Execution、Graph、Analysisへ直接遷移できる,Direct/deep resource navigation,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,frontend_navigation_and_state,,ENH-E5のnavigation architecture改修へ直接含める。,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Frontend routes are workspace surfaces; dedicated deep routes to Result/Execution/Graph/Analysis resources are not generally implemented.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-110a,FR-110,Requirement,MISMATCH,Case B,一覧と比較でfamily、status、dataset、context、dateによるfilterを提供する,Existing results filters (family/type/status等),D1,ACTIVE,IMPLEMENTED,BASELINE,frontend_navigation_and_state,,現実装で成立しているfilter capabilityをcurrent contractとして記述する。,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,Results UI filters by a narrower set (e.g. family/type/status); dataset/context/date filtering is not fully implemented.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-110b,FR-110,Requirement,MISMATCH,Case B,一覧と比較でfamily、status、dataset、context、dateによるfilterを提供する,Dataset/context/date filter expansion,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,frontend_navigation_and_state,TD-010,追加検索surfaceはENH-E5成立条件ではない。,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,Results UI filters by a narrower set (e.g. family/type/status); dataset/context/date filtering is not fully implemented.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-114a,FR-114,Requirement,MISMATCH,Case B,作成系APIでidempotency keyを受け付ける,Create APIであること自体をidempotency applicability基準にする要求,D1,ACTIVE,IMPLEMENTED,BASELINE,command_idempotency,,HTTP createか否かではなく重複side effectリスクを基準にRequirementを訂正する。,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,"Some create endpoints accept Idempotency-Key, but Project creation and other create APIs do not.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-114b,FR-114,Requirement,MISMATCH,Case B,作成系APIでidempotency keyを受け付ける,Idempotency-required Command APIでIdempotency-Keyを受理,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,command_idempotency,,既存mechanismのcoverageを必要なCommandへ統一する。,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,"Some create endpoints accept Idempotency-Key, but Project creation and other create APIs do not.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-118,FR-118,Requirement,MISMATCH,Case B,CLIからFamily別Specificationをsubmitしstatus/resultを取得できる,Product submit/poll CLI,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,frontend_navigation_and_state,TD-009,current scientific CLIを維持しProduct orchestration CLIは将来拡張へ送る。,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,Current scientific CLI runs local/headless scientific stages; it is not a generic Product CLI for submitting Family specifications and polling Product status/results.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-122,FR-122,Requirement,MISMATCH,Case B,作成、更新、archive、execution、cancel、retry、exportをaudit logへ記録する,General operational audit trail,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,audit_retention,TD-001,要求方向は合理的だが横断audit基盤となるためENH-E5では延期する。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,No general AuditLog domain/persistence resource implementing the listed action audit contract was found.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-126,FR-126,Requirement,MISMATCH,Case B,Metadata、Artifact、logの保持期間と削除policyを設定できる,Configurable retention/deletion policy,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,audit_retention,TD-002,要求方向は合理的だが独立したretention/deletion policy設計が必要。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,No configurable metadata/artifact/log retention and deletion policy implementation was found.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-127a,FR-127,Requirement,MISMATCH,Case B,API、DB、Worker、Artifact Storeのhealth / readinessを提供する,Existing basic health endpoint,D1,ACTIVE,IMPLEMENTED,BASELINE,operability,,現存するbasic health contractのみcurrent contractとして記述する。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"`/health/ready` returns only `{""status"":""ok""}` and does not check API/DB/Worker/Artifact Store component readiness.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-127b,FR-127,Requirement,MISMATCH,Case B,API、DB、Worker、Artifact Storeのhealth / readinessを提供する,DB/Worker/Artifact Store component readiness,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,operability,TD-011,component readinessは独立operability enhancementとして延期する。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"`/health/ready` returns only `{""status"":""ok""}` and does not check API/DB/Worker/Artifact Store component readiness.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-128a,FR-128,Requirement,MISMATCH,Case B,Algorithm、Runner、size limit、timeoutをconfigurationで管理する,Registry-based Algorithm / Runner management,D1,ACTIVE,IMPLEMENTED,BASELINE,resource_control,,current registry/capability resolutionを正本とし外部config loadingをmandatory contractとしない。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Algorithm/runner/size/timeout configuration is not comprehensively externalized/configurable.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-128b,FR-128,Requirement,MISMATCH,Case B,Algorithm、Runner、size limit、timeoutをconfigurationで管理する,Operational size/timeout configuration,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,resource_control,TD-004,resource policyの独立設計が必要なため延期する。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Algorithm/runner/size/timeout configuration is not comprehensively externalized/configurable.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
NFR-004,NFR-004,Requirement,MISMATCH,Case B,通常一覧・詳細APIの95 percentileを2秒以内、重い集計は非同期化する,General p95 API SLO / performance regression gate,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,operability,TD-012,benchmark environment等を伴う独立performance workとして延期する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,No evidence of a 95th-percentile <=2s acceptance/performance implementation or regression gate was found.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
NFR-017,NFR-017,Requirement,MISMATCH,Case B,upload size、row count、column count、memory、timeoutに明示上限を持つ,Explicit upload/row/column/memory/timeout hard limits,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,resource_control,TD-004,包括的resource control/sandbox設計が必要。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,No comprehensive explicit limits for upload size/rows/columns/memory/timeout were found.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
NFR-020a,NFR-020,Requirement,MISMATCH,Case B,Local filesystemとobject storageをPortで切り替えられる,ArtifactStore Port abstraction,D1,ACTIVE,IMPLEMENTED,BASELINE,storage_portability,,current ArtifactStore Port abstractionを正本として維持する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"ArtifactStore Port exists, but current adapter/wiring contains only LocalArtifactStore; no object-storage adapter is available to switch to.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
NFR-020b,NFR-020,Requirement,MISMATCH,Case B,Local filesystemとobject storageをPortで切り替えられる,Object-storage adapter / switching,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,storage_portability,TD-005,Portは成立済みだがobject-storage adapterは独立deployment enhancementとして延期する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"ArtifactStore Port exists, but current adapter/wiring contains only LocalArtifactStore; no object-storage adapter is available to switch to.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
AR-017,AR-017,Requirement,MISMATCH,Case B,Result比較は同一Task / Estimand / Outcome等の比較可能性を検証する,Semantic result comparability,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,scientific_comparability,,same family/typeだけでなくTask/Estimand/Outcome等のsemantic comparability guardを完成させる。,family capability validation/runners; comparison/lineage/product closure services,"Result comparison validates same family/result type, not same Task/Estimand/Outcome semantic comparability.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
D10-004,D10-004,Design,MISMATCH,Case B,Stage state diagram is complete,StageExecution CANCELLED transitions,D1,ACTIVE,IMPLEMENTED,BASELINE,domain_ownership_and_lifecycle,,sourceで成立するCANCELLED transitionを文書へ反映する純粋なdocumentation drift correction。,product/domain/stage_execution.py; persistence/orm_models.py,Document omits CANCELLED transitions that implementation supports from PENDING/READY/RUNNING.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
D10-005a,D10-005,Design,MISMATCH,Case B,read/write/execute/Operator permission taxonomy is the implemented authorization model,Project role taxonomy OWNER/EDITOR/VIEWER,D1,ACTIVE,IMPLEMENTED,BASELINE,authorization,,persisted current role taxonomyを正本とする。,product/application/product_closure_service.py; web routers,Persisted Project roles are OWNER/EDITOR/VIEWER; no distinct execute/Operator role model exists and authorization is not uniformly applied to all routers.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
D10-005b,D10-005,Design,MISMATCH,Case B,read/write/execute/Operator permission taxonomy is the implemented authorization model,Uniform Project-scoped authorization across routers,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,authorization,,既存ProjectMembership authorization boundaryの適用漏れをENH-E5で解消する。,product/application/product_closure_service.py; web routers,Persisted Project roles are OWNER/EDITOR/VIEWER; no distinct execute/Operator role model exists and authorization is not uniformly applied to all routers.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
D10-005c,D10-005,Design,MISMATCH,Case B,read/write/execute/Operator permission taxonomy is the implemented authorization model,Distinct Operator / system-operate authorization,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,authorization,TD-003,system-level operator modelは独立security/operations enhancementとして延期する。,product/application/product_closure_service.py; web routers,Persisted Project roles are OWNER/EDITOR/VIEWER; no distinct execute/Operator role model exists and authorization is not uniformly applied to all routers.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
D10-006a,D10-006,Design,MISMATCH,Case B,artifact deletion audit + general audit fields + retention contract are implemented,General Audit contract,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,audit_retention,TD-001,FR-122と同一root decision。,persistence/orm_models.py; adapters/local_artifact_store.py; web/application services,"Annotation revision history exists, but no general AuditLog resource and no configurable retention/deletion audit contract exists; LocalArtifactStore.delete removes file directly.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
D10-006b,D10-006,Design,MISMATCH,Case B,artifact deletion audit + general audit fields + retention contract are implemented,Retention/deletion contract,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,audit_retention,TD-002,FR-126と同一root decision。,persistence/orm_models.py; adapters/local_artifact_store.py; web/application services,"Annotation revision history exists, but no general AuditLog resource and no configurable retention/deletion audit contract exists; LocalArtifactStore.delete removes file directly.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
D22-001,D22-001,Design,MISMATCH,Case B,Metadata DB / Outbox / Artifact Store are current runtime components,Outbox as current runtime component,D1,ACTIVE,IMPLEMENTED,BASELINE,architecture_overstatement,,current implementationに存在しないOutboxをcurrent architectureから除去する。,persistence/orm_models.py; product source tree,No canonical Product Outbox resource/publisher is present in E4 completion implementation.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
D22-002,D22-002,Design,MISMATCH,Case B,"implemented Port set includes repository, artifact store, runner, clock, auth, event",Runner/Auth/Event Ports as current implemented Ports,D1,ACTIVE,IMPLEMENTED,BASELINE,architecture_overstatement,,sourceで確認されたPort setだけをcurrent architectureに記載する。,src/ariadne/product/ports directory,"Current product ports are artifact_store, clock, repositories, scientific_core, unit_of_work; runner/auth/event ports are not present.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-007,FR-007,Requirement,PARTIAL_MATCH,Case B,Executionは受付時のResearch Context snapshotとhashを保持する,Execution context snapshot semantics,D1,ACTIVE,IMPLEMENTED,BASELINE,reproducibility,,完全なResearchContext object複製を必須にせずcurrent immutable references/snapshot metadataを正本とする。,product/domain/analysis_specification.py; product/persistence/orm_models.py; workspace lifecycle/query services,"Execution persists analysis_spec_json/objective/rationale and snapshot hash, but a dedicated complete ResearchContext snapshot+hash contract was not confirmed.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-008,FR-008,Requirement,PARTIAL_MATCH,Case B,Contextの履歴、利用Analysisおよび関連Resultを確認できる,Canonical Context usage index to Analysis/Result,D2,ACTIVE,PARTIAL,ENH-E5,lineage_traceability,,既存lineage/read-modelを拡張しContext usageのtraceabilityを完成させる。,product/domain/analysis_specification.py; product/persistence/orm_models.py; workspace lifecycle/query services,Context usage covers AnalysisSpecification plus historical/compatibility family execution/result projections; it is not a complete canonical Execution/Result usage index.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-011,FR-011,Requirement,PARTIAL_MATCH,Case B,Dataset Versionにcontent hash、schema、row count、column count、基本profileを保存する,DatasetVersion registration metadata/profile semantics,D1,ACTIVE,IMPLEMENTED,BASELINE,exploratory_workflow,,registration時のbasic profile必須化を撤回しcurrent schema/shape/hash contractを正本とする。,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,"DatasetVersion stores profile_summary_json, but registration computes schema/row/column counts and does not compute the required basic profile.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-025a,FR-025,Requirement,PARTIAL_MATCH,Case B,欠損パターンおよび列別missingnessを確認できる,Column missingness,D1,ACTIVE,IMPLEMENTED,BASELINE,exploratory_workflow,,現実装の列別missingnessをcurrent contractとして維持する。,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,Column missingness/profile exists; explicit missing-pattern analysis was not confirmed.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-025b,FR-025,Requirement,PARTIAL_MATCH,Case B,欠損パターンおよび列別missingnessを確認できる,Joint missing-pattern analysis,D3,DEFERRED,PARTIAL,FUTURE,exploratory_workflow,TD-007,追加Exploratory analytical capabilityとして延期する。,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,Column missingness/profile exists; explicit missing-pattern analysis was not confirmed.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
