Freeze Package,Package Title,Decision Item,Source ID,Original Alignment,Freeze Status,Frozen Contract Ref,Requires Code,Requires Data Migration,Affected Documents,Test Obligation,Notes
PF-D2-04,Scientific Comparability & Exploratory-Reuse Guard,FR-072,FR-072,PARTIAL_MATCH,FROZEN,PF-D2-04 §6 Predictive comparison key,YES,NO,"10,21,22,23,30,06,07",semantic compatibility matrix; metric comparability; same-data warning; lineage/warning propagation,
PF-D2-05,Command Idempotency & Retry-safe Artifact Commit,FR-082,FR-082,PARTIAL_MATCH,FROZEN,PF-D2-05 §9 key/scope/replay/conflict semantics,YES,NO*,"10,21,22,23,30,06,07",command inventory; replay/conflict/concurrency; retry artifact de-duplication; crash-gap boundary,
PF-D2-08,Reproducibility Metadata Completion,FR-086a,FR-086,PARTIAL_MATCH,FROZEN,PF-D2-08 §14 per-attempt effective seed,YES,YES (StageAttempt effective_random_seed),"10,21,22,23,30,06,07",per-attempt effective seed; retry seed stability; runtime library manifest; immutable execution snapshot,
PF-D2-08,Reproducibility Metadata Completion,FR-087b,FR-087,PARTIAL_MATCH,FROZEN,PF-D2-08 §15 runtime dependency manifest,YES,YES (StageAttempt effective_random_seed),"10,21,22,23,30,06,07",per-attempt effective seed; retry seed stability; runtime library manifest; immutable execution snapshot,
PF-D2-07,Canonical Lineage Completion,FR-095,FR-095,PARTIAL_MATCH,FROZEN,PF-D2-07 §13 Result lineage completeness,YES,NO,"10,21,22,23,30,06,07",context usage projection; Spec/Plan/Stage chain; causal upstream/downstream trace; no duplicate structural edges,
PF-D2-09,"Frontend Deep Navigation, Action State & Accessibility",FR-107,FR-107,PARTIAL_MATCH,FROZEN,PF-D2-09 §17 backend-authoritative action availability,YES,NO,"10,22,23,30,06,07",deep-link/reload/history; resource focus; backend-authoritative actions; async states; keyboard/focus/non-color accessibility,
PF-D2-09,"Frontend Deep Navigation, Action State & Accessibility",FR-109,FR-109,PARTIAL_MATCH,FROZEN,PF-D2-09 §18 async UI state taxonomy,YES,NO,"10,22,23,30,06,07",deep-link/reload/history; resource focus; backend-authoritative actions; async states; keyboard/focus/non-color accessibility,
PF-D2-09,"Frontend Deep Navigation, Action State & Accessibility",FR-111,FR-111,PARTIAL_MATCH,FROZEN,PF-D2-09 §19 accessibility contract,YES,NO,"10,22,23,30,06,07",deep-link/reload/history; resource focus; backend-authoritative actions; async states; keyboard/focus/non-color accessibility,
PF-D2-06,Project Authorization & Sensitive Output Boundary,FR-121,FR-121,PARTIAL_MATCH,FROZEN,PF-D2-06 §11 project role/action matrix,YES,NO,"10,22,23,30,06,07",role/action matrix; project scoping; artifact/result/prediction sensitive access; legacy-route ownership resolution,
PF-D2-06,Project Authorization & Sensitive Output Boundary,FR-123a,FR-123,PARTIAL_MATCH,FROZEN,PF-D2-06 §12 output authorization boundary,YES,NO,"10,22,23,30,06,07",role/action matrix; project scoping; artifact/result/prediction sensitive access; legacy-route ownership resolution,
PF-D2-06,Project Authorization & Sensitive Output Boundary,FR-124b,FR-124,PARTIAL_MATCH,FROZEN,PF-D2-06 §12 artifact route authorization,YES,NO,"10,22,23,30,06,07",role/action matrix; project scoping; artifact/result/prediction sensitive access; legacy-route ownership resolution,
PF-D2-08,Reproducibility Metadata Completion,NFR-001b,NFR-001,PARTIAL_MATCH,FROZEN,PF-D2-08 §14-15 reproducibility completion,YES,YES (StageAttempt effective_random_seed),"10,21,22,23,30,06,07",per-attempt effective seed; retry seed stability; runtime library manifest; immutable execution snapshot,
PF-D2-07,Canonical Lineage Completion,NFR-002,NFR-002,PARTIAL_MATCH,FROZEN,PF-D2-07 §13 canonical traceability chain,YES,NO,"10,21,22,23,30,06,07",context usage projection; Spec/Plan/Stage chain; causal upstream/downstream trace; no duplicate structural edges,
PF-D2-05,Command Idempotency & Retry-safe Artifact Commit,NFR-006b,NFR-006,PARTIAL_MATCH,FROZEN,PF-D2-05 §10 retry-safe durable artifact materialization,YES,NO*,"10,21,22,23,30,06,07",command inventory; replay/conflict/concurrency; retry artifact de-duplication; crash-gap boundary,NO* = avoid schema migration by deterministic/reusable Artifact identity/object-key contract; NFR-007 cross-store compensation remains D3.
PF-D2-06,Project Authorization & Sensitive Output Boundary,NFR-008b,NFR-008,PARTIAL_MATCH,FROZEN,PF-D2-06 §11 project role/action matrix,YES,NO,"10,22,23,30,06,07",role/action matrix; project scoping; artifact/result/prediction sensitive access; legacy-route ownership resolution,
PF-D2-09,"Frontend Deep Navigation, Action State & Accessibility",NFR-012,NFR-012,PARTIAL_MATCH,FROZEN,PF-D2-09 §19 accessibility contract,YES,NO,"10,22,23,30,06,07",deep-link/reload/history; resource focus; backend-authoritative actions; async states; keyboard/focus/non-color accessibility,
PF-D2-04,Scientific Comparability & Exploratory-Reuse Guard,AR-004,AR-004,PARTIAL_MATCH,FROZEN,PF-D2-04 §7 same-data definition and warning,YES,NO,"10,21,22,23,30,06,07",semantic compatibility matrix; metric comparability; same-data warning; lineage/warning propagation,
PF-D2-06,Project Authorization & Sensitive Output Boundary,AR-020,AR-020,PARTIAL_MATCH,FROZEN,PF-D2-06 §12 sensitive prediction/explanation output,YES,NO,"10,22,23,30,06,07",role/action matrix; project scoping; artifact/result/prediction sensitive access; legacy-route ownership resolution,
PF-D2-10,Derived E5 Test Architecture,D22-013b,D22-013,PARTIAL_MATCH,FROZEN,PF-D2-10 §20 D2-derived test architecture,TESTS/DOCS,NO,"22,30,06,07",trace every D2 package to unit/integration/API/UI or architecture verification; exclude D3 targets,
PF-D2-10,Derived E5 Test Architecture,D30-018b,D30-018,PARTIAL_MATCH,FROZEN,PF-D2-10 §20 D2-derived test architecture,TESTS/DOCS,NO,"22,30,06,07",trace every D2 package to unit/integration/API/UI or architecture verification; exclude D3 targets,
PF-D2-11,Documentation Self-containment & Navigation Architecture Freeze,NFR-019,NFR-019,UNVERIFIED,FROZEN,PF-D2-11 §21 navigation/documentation freeze + DOC-019,DOCUMENTATION_ONLY for NFR-019; navigation decisions consumed by E5 code,NO,"10,21,22,23,30,06,07",DOC-019-01..08; catalog contract; route parse/serialize; catalog/runtime dependency guard,Documentation-only D2. The navigation choices frozen here must be copied into 22/23/30 before 06/Pxx is authored.
