ID,Area,Requirement,Priority,Classification,Status,E4_source_evidence,E4_doc_diagnosis,Notes
FR-018,Data / View,同じAnalysis Viewを複数Analysis Familyから参照できる,SHOULD,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-019,Data / View,Dataset columnにグローバルなTreatment、Outcome、Target等の役割を固定しない,MUST,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-020,Data / View,Exploreのfilter・chart状態からAnalysis View draftを作成できる,SHOULD,③-1,MISMATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,Case B,No implemented Explore filter/chart-state -> AnalysisView draft conversion was found in the E4 frontend/application path.
FR-021,Data / View,機微列、利用制限および説明をcolumn metadataへ付与できる,SHOULD,③-1,MISMATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,Case B,Dataset column metadata is essentially logical type/schema; sensitive/use-restriction/description metadata was not implemented.
FR-022,Data / View,Analysis View生成時に不正列、空母集団、非決定的式を拒否する,MUST,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-023,Explore,Dataset overview、schema、型、欠損率、cardinalityを表示する,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-024,Explore,数値列・カテゴリ列の記述統計と分布を生成する,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-025,Explore,欠損パターンおよび列別missingnessを確認できる,MUST,③-1,PARTIAL_MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,Case B,Column missingness/profile exists; explicit missing-pattern analysis was not confirmed.
FR-026,Explore,二変量の散布、箱ひげ、クロス集計および関連指標を生成できる,MUST,③-1,PARTIAL_MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,Case B,"Association operations exist, but the full requested scatter/box/crosstab surface set is not implemented as stated."
FR-027,Explore,group-by集計および時系列推移を生成できる,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-028,Explore,correlation / association matrixを型に応じて生成できる,SHOULD,③-1,MISMATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,Case B,Exploratory operations do not include a correlation/association matrix operation.
FR-029,Explore,Chart Specificationを保存し、同じDataset Versionで再実行できる,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-030,Explore,探索実行のResultとArtifactを保存する,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-031,Explore,保存した探索Resultに観察メモと限界をAnnotationできる,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-032,Explore,探索ResultからCausalまたはPredictive Analysis Specificationのdraftを作成できる,SHOULD,③-1,MISMATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,Case B,No implemented Exploratory Result -> Causal/Predictive AnalysisSpecification draft conversion was confirmed.
FR-033,Explore,探索結果をEXPLORATORYと表示し、確認的結論として自動昇格しない,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-034,Explore,可視化の描画条件、集計条件、samplingおよびcode versionを保存する,MUST,③-1,PARTIAL_MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,Case B,"Sampling/spec/code-version information exists across contracts, but complete rendering/aggregation-condition persistence as stated was not confirmed."
FR-035,Causal,複数algorithm / parameterでcausal discoveryを実行できる,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-036,Causal,User-definedまたはImported GraphをDiscoveryなしで登録できる,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-037,Causal,DAG、CPDAG、PAGおよびendpoint semanticsを保持する,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-038,Causal,Graph Candidateの共通条件、変更条件およびedge差分を比較できる,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-039,Causal,FIXED Graphからchild DRAFTを作成し、編集理由を記録して再固定できる,MUST,③-1,MATCH,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-040,Causal,Population、Treatment、Comparator、Outcome、Time、Estimand、Decision UseをCausal Questionに固定する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-041,Causal,assignment、time zero、eligibility、strategy、adjustment set、assumptionsをCausal Designに固定する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-042,Causal,Graph、Question、DesignからIdentification Resultを生成する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-043,Causal,Identificationは全reasonを収集後、確定的不整合をreview statusより優先してstatus決定する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-044,Causal,型、欠測、post-treatment、sample size、overlapをData Eligibilityとして評価する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-045,Causal,Treatment / Outcome inferred typeを正規化文字列で保存し、外部型objectを永続化しない,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-046,Causal,Identification、Eligibility、Estimator互換性を満たす場合のみEstimationを受け付ける,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-047,Causal,ATEまたはATTと区間推定を生成できる,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-048,Causal,overlap、balance、weight、sample loss等をDiagnostics Resultとして分離保存する,MUST,③-1,PARTIAL_MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,Case B,"Causal diagnostics exist and estimator capabilities declare several diagnostics, but the full overlap/balance/weight/sample-loss set is not uniformly produced."
FR-049,Causal,Placebo TreatmentおよびData SubsetによるRefutationを実行できる,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-050,Causal,Adjustment SetおよびPropensity ClippingのSensitivityを実行できる,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-051,Causal,同一Project・Datasetの先行Discoveryを確認し、確認的Estimationへ探索後推論警告を保存する,MUST,③-1,PARTIAL_MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,Case B,"Cross-analysis scientific warning behavior exists in parts of the product, but the exact same-Project/same-Dataset prior-Discovery warning contract was not fully confirmed."
FR-052,Causal,同一条件のRERUNと条件変更のREVISEDを区別し、changed dimensionsとreasonを保存する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-053,Causal,科学的負結果をExecution failureと区別する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-054,Causal,Causal ResultからQuestion、Design、Graph、Eligibility、上流Resultへ遡れる,MUST,③-1,PARTIAL_MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,Case B,"Canonical lineage covers major upstream entities, but the full Question/Design/Graph/Eligibility/upstream Result chain as one complete contract is not fully represented."
FR-055,Predictive,表形式Binary ClassificationとRegressionをPrediction Taskとして作成できる,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-056,Predictive,Prediction unit、target、prediction time、horizon、intended use、deployment populationを固定する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-057,Predictive,feature setと各featureのavailability cutoffを固定する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-058,Predictive,random、stratified、group、time-based splitを選択できる,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-059,Predictive,target leakage、future leakage、group leakage、split overlapをBackendで拒否する,MUST,③-1,MATCH,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-060,Predictive,imputation、encoding、scaling等のfitをtraining partitionのみに限定する,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-061,Predictive,Algorithm Registryからtask対応modelを選択できる,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-062,Predictive,validation partitionまたはcross-validationでhyperparameter selectionを行える,SHOULD,③-1,MISMATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,Case B,Predictive validation explicitly rejects non-empty automated tuning candidates; automated hyperparameter selection is not supported.
FR-063,Predictive,固定済みspecとsplitからmodelをtrainingできる,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-064,Predictive,test partitionをmodel selectionに使用せず、最終評価まで隔離する,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-065,Predictive,classificationとregressionでtask対応metricを生成する,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-066,Predictive,classificationでclass balance、threshold、calibrationを確認できる,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-067,Predictive,指定subgroupごとのperformanceとsample sizeを確認できる,SHOULD,③-1,MISMATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,Case B,"Subgroups are accepted in evaluation_spec, but subgroup performance computation/output was not found."
FR-068,Predictive,prediction、residual / error、metric、model、preprocessorをArtifactとして保存する,MUST,③-1,PARTIAL_MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,Case B,"Model/preprocessor/prediction artifacts exist, but metrics/errors are primarily Result payloads rather than all being Artifact resources as stated."
FR-069,Predictive,global / local Predictive Explanationを生成できる,SHOULD,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-070,Predictive,Predictive Explanationを因果説明と区別して表示・exportする,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-071,Predictive,intended use、training data、metric、limitationsをModel Cardへ記録する,SHOULD,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-072,Predictive,同一Taskのmodel、split、feature、metric差分を比較できる,MUST,③-1,PARTIAL_MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,Case B,Comparison enforces same family/result type; it does not fully validate same Task/split/feature/metric semantics.
FR-073,Predictive,Prediction Taskからsource Context、Dataset、Analysis Viewへ遡れる,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-074,Workflow,Analysis FamilyをEXPLORATORY、CAUSAL、PREDICTIVEとして識別する,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-075,Workflow,Family別PlannerをRegistryから解決する,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-076,Workflow,Plannerはversionedで不変なExecution Planを生成する,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-077,Workflow,Stage Typeをnamespace、name、versionで識別する,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-078,Workflow,PlanはStage dependencyとinput/output bindingをDAGとして保持する,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-079,Workflow,Stage RunnerをRegistryから解決し、Executorへif/elif分岐を集約しない,MUST,③-1,MATCH,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-080,Workflow,canonical lifecycle/application serviceがExecutionのclaim、state、cancel、retry、Result/Artifact metadata commitを所有し、Generic Executorはowned workflow context内で依存順、Stage sequencing、runner invocationを実行する,MUST,③-1,MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-081,Workflow,Stage ExecutionとAttemptのstatus、開始・終了時刻、errorを保持する,MUST,③-1,MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-082,Workflow,同一idempotency keyと同一bodyのCommandを重複実行しない,MUST,③-1,PARTIAL_MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,Case B,"Idempotency exists on selected command endpoints, not every Command universally."
FR-083,Workflow,技術retryは同一Execution、条件変更は新Executionとする,MUST,③-1,MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-084,Workflow,上流Artifactを下流Stage inputへ型付きでbindingする,MUST,③-1,MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-085,Workflow,未登録Runner、cycle、missing output、schema mismatchをPlan受付時に拒否する,MUST,③-1,MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-086,Workflow,Stageごとのtimeout、resource limit、random seedを記録する,SHOULD,③-1,PARTIAL_MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,Case B,"Random seed and some timeout/lifecycle data exist, but a universal per-stage timeout/resource-limit/random-seed persisted contract is not implemented."
FR-087,Workflow,code、runtime、library、schema versionをExecution snapshotへ固定する,MUST,③-1,PARTIAL_MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,Case B,"Execution stores code_version/runtime_version_json/schema snapshot, but universal explicit library-version capture was not established."
FR-088,Workflow,Execution StatusとResult analytical statusを分離する,MUST,③-1,MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-089,Workflow,Generic validationとFamily-specific validationを分離して実行する,MUST,③-1,MATCH,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-090,Result / Lineage,共通Result Envelopeにfamily、type、schema version、execution、stageを保持する,MUST,③-1,MISMATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Case B,Canonical Result does not directly contain family or generic schema_version; execution result may have no stage_execution_id.
FR-091,Result / Lineage,Result payloadはFamily・Type別Schemaで検証する,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-092,Result / Lineage,Artifactにfamily、type、schema version、media type、hash、sizeを保持する,MUST,③-1,MISMATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Case B,Canonical Artifact contains type/media/hash/size but not family or generic schema_version.
FR-093,Result / Lineage,同一または明示的に互換なResult Typeのみ定量比較する,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-094,Result / Lineage,Project単位でExplore、Causal、Predictiveのsummaryを横断表示する,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-095,Result / Lineage,ResultからContext、Dataset、View、Spec、Plan、Stage、Artifactへ遡る,MUST,③-1,PARTIAL_MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Case B,"Lineage covers Project/Dataset/View/Execution/Result/Artifact/Graph/Annotation relationships, but does not expose the full Spec/Plan/Stage chain requested."
FR-096,Result / Lineage,探索Resultから分析draft等のcross-analysis relationを明示保存する,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-097,Result / Lineage,Result、Graph、Analysis SpecificationまたはProjectへAnnotationできる,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-098,Result / Lineage,採用判断、仮定、適用範囲、限界、次ActionをAnnotationへ記録できる,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-099,Result / Lineage,Manifest、Result summary、Specification、Artifact参照をexportできる,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-100,Result / Lineage,保存済みResultを上書きせず、訂正は新ResultまたはAnnotationで行う,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-101,Result / Lineage,改訂Executionとbase ExecutionのedgeをLineage表示する,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-102,Result / Lineage,AUC等とATE等を単一Scoreへ正規化しない,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-103,Result / Lineage,Viewerがread-onlyで全来歴を確認できる,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-104,UI,Project WorkspaceはProject-global surfaceとAnalytical Family navigationを別navigation dimensionとして提供する,MUST,③-2,TARGET_CHANGE,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-105,UI,route-backed navigationは独立URL、deep link、reload、browser back / forwardに対応する,MUST,③-2,TARGET_CHANGE,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-106,UI,選択中Project、Context Version、Dataset Version、Analysis Viewを常時確認できる,MUST,③-1,MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-107,UI,操作可否をBackendの正本状態から導出し、拒否理由を表示する,MUST,③-1,PARTIAL_MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Case B,"Some APIs expose allowed_actions/backend-derived state, but this policy is not uniformly enforced across all controls."
FR-108,UI,Result、Execution、Graph、Analysisへ直接遷移できる,MUST,③-1,MISMATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Case B,Frontend routes are workspace surfaces; dedicated deep routes to Result/Execution/Graph/Analysis resources are not generally implemented.
FR-109,UI,非同期処理のloading、empty、partial、error、cancel状態を区別する,MUST,③-1,PARTIAL_MATCH,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,Case B,"Loading/empty/error states exist in places, but the full loading/empty/partial/error/cancel state taxonomy is not consistently implemented."
FR-110,UI,一覧と比較でfamily、status、dataset、context、dateによるfilterを提供する,SHOULD,③-1,MISMATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,Case B,Results UI filters by a narrower set (e.g. family/type/status); dataset/context/date filtering is not fully implemented.
