ID,Document,Section,Assertion,Classification,Status,E4_source_evidence,E4_doc_diagnosis,Notes
D21-006,21,5.5 AnalysisSpecification,common envelope + AnalysisFamily discriminator + family schema mapping,③-1,MATCH,analysis_specification.py; enums.py,,Existing analysis_family discriminator is correctly represented.
D21-007,21,5.6 ExecutionPlan,"immutable plan, StageType/StageDefinition/bindings",③-1,MATCH,execution_plan.py; plan_validator.py,,Current plan contract matches V5 after prior corrections.
D21-008,21,5.7 Execution,canonical Execution persistent fields/state/lease,③-1,MATCH,orm_models.py; execution.py; repositories.py,,Field table was mechanically compared with ORM.
D21-009,21,5.8 StageExecution,StageExecution + separate StageAttempt structure,③-1,MATCH,stage_execution.py; orm_models.py,,"Attempt history is separate, matching source."
D21-010,21,5.9 Result,canonical Result field/status matrix,③-1,MATCH,result.py; orm_models.py,,Canonical Result field list and status constraints match source.
D21-011,21,5.10 Artifact,canonical Artifact descriptor/object_key contract,③-1,MATCH,orm_models.py; artifact_store.py,,No family/schema_version/storage_uri fields are claimed in canonical Artifact.
D21-012,21,5.11 GraphVersion,GraphVersion fields/origin constraints,③-1,MATCH,orm_models.py; graph_version.py,,Origin/reference constraints match ORM/domain.
D21-013,21,5.12 Annotation,simple Annotation vs WorkspaceAnnotation separation,③-1,MATCH,orm_models.py; annotation/product_closure services,,Two annotation contracts are kept distinct.
D21-014,21,5.13 LineageEdge,typed/generic lineage authority model,③-1,MATCH,domain/lineage.py; product_closure_service.py,,V5 uses current authority classifier rather than old phase narrative.
D21-015,21,6 Canonicalization,"object-key sorting, array order preservation, finite JSON",③-1,MATCH,domain/schemas.py,,V5 canonicalization follows implementation.
D21-016,21,7 Index/Unique Constraint,documented current indexes/unique constraints,③-1,MATCH,persistence/orm_models.py,,Key resource constraints were mechanically compared.
D21-017,21,8 Schema Reader Contract,SchemaRegistry keyed by schema_version,③-1,MATCH,domain/schemas.py,,No resource_type+schema_version registry is claimed.
D22-001,22,2 System Context,Metadata DB / Outbox / Artifact Store are current runtime components,③-1,MISMATCH,persistence/orm_models.py; product source tree,Case B,No canonical Product Outbox resource/publisher is present in E4 completion implementation.
D22-002,22,3.1 Layer / Ports,"implemented Port set includes repository, artifact store, runner, clock, auth, event",③-1,MISMATCH,src/ariadne/product/ports directory,Case B,"Current product ports are artifact_store, clock, repositories, scientific_core, unit_of_work; runner/auth/event ports are not present."
D22-003,22,3.1/14 Adapter boundary,"SQL, Filesystem/Object Storage, scientific library, ML library are implemented Port/Adapter variants",③-1,PARTIAL_MATCH,src/ariadne/adapters; interfaces/web_api/dependencies.py; product/ports/scientific_core.py,Case B,"LocalArtifactStore exists and scientific core has a port boundary, but there is no object-storage adapter and adapter taxonomy is not implemented as broadly as written."
D22-004,22,5 Generic Workflow Core,Planner/Plan/Executor/Runner Registry responsibility split,③-1,MATCH,workflow/planner_registry.py; execution_plan.py; executor.py; runner_registry.py,,V5 reflects current generic workflow responsibility after prior audit.
D22-005,22,6 Family workflows,current Exploratory/Causal/Predictive runtime planner behavior,③-1,MATCH,capabilities/exploratory/planner.py; causal/workflow.py; predictive/planner.py,,V5 corrected E4 multi-stage causal and predictive ordering assumptions.
D22-006,22,7 Validation Architecture,generic PlanValidator vs family/application validation boundaries,③-1,MATCH,workflow/plan_validator.py; family validators,,V5 separates generic and family validation according to source.
D22-007,22,8 Result/Artifact/Lineage,canonical authority and compatibility-read-model boundary,③-1,MATCH,orm_models.py; output ownership/lineage services,,V5 current authority description matches implementation.
D22-008,22,9 Comparison,same-family/type comparison and no cross-family ranking,③-1,MATCH,comparison_query_service.py; product_closure_service.py,,Current comparison checks and cross-family summary behavior are represented.
D22-009,22,10 Frontend State existing fields,workspace selection keeps context/dataset/view/draft only,③-1,MATCH,product_closure_service.py; WorkspaceSelectionOrm,,Existing persisted workspace selection is represented; E5 navigation state is separately TARGET_CHANGE.
D22-010,22,11 Security current identity,X-User-Id/anonymous and OWNER/EDITOR/VIEWER closure roles,③-1,MATCH,projects.py; product_closure_service.py,,V5 corrected E4 OIDC/role assumptions.
D22-011,22,12 Deployment current fact,FastAPI + polling Worker + persistence + default LocalArtifactStore,③-1,MATCH,web_api/dependencies.py; worker runner; local_artifact_store.py,,Current deployment statement in V5 is narrowed to implemented components.
D22-012,22,13 Failure Model existing runtime errors,validation/runtime/artifact failure semantics,③-1,MATCH,error handlers; execution/stage/artifact services,,No direct contradiction found after V5 corrections.
D22-013,22,15 Test Architecture,all listed test seams/benchmarks are present as implemented test architecture,③-1,PARTIAL_MATCH,tests/; prior E4 verification artifacts,Case B,"Core domain/workflow/API/scientific tests exist, but the full approved target test architecture (including all browser/accessibility/performance surfaces) is not completely evidenced."
D23-001,23,2 Auth/Authz,current request identity and ProjectClosure roles,③-1,MATCH,web_api/app.py; projects.py; product_closure_service.py,,Current identity/role limitations are explicitly stated.
D23-002,23,3 Common Response,error envelope/mappings and non-universal pagination,③-1,MATCH,error_handlers.py; schemas.py; routers,,Current API behavior is described without invented universal contract.
D23-003,23,4 Project/Research Context API,current routes and usage projection limitation,③-1,MATCH,projects/workspace_lifecycle routers/services,,V5 explicitly records compatibility projection limit.
D23-004,23,5 Dataset/AnalysisView API,current routes/response fields,③-1,MATCH,dataset_versions.py; workspace_lifecycle.py,,Current path/response contract matches source.
D23-005,23,6 AnalysisSpecification API,"envelope, routes, no list filters",③-1,MATCH,analysis_specification domain; workspace_lifecycle router,,V5 corrected list-filter overstatement.
D23-006,23,7-9 Family interfaces,existing exploratory/causal/predictive interface surfaces,③-1,MATCH,exploration.py; graph_versions.py; predictive*.py,,No direct contradiction found after V5 corrections.
D23-007,23,10 Execution Interface,canonical Execution route/response and runtime plan boundary,③-1,MATCH,executions.py; predictive_workflow.py; workflow contracts,,Current public/runtime interfaces are separated.
D23-008,23,11 Result/Comparison/Lineage,"canonical result response, comparison semantics, lineage layers",③-1,MATCH,results.py; comparison_query_service.py; lineage services,,Current Result response intentionally lacks direct family/schema_version.
D23-009,23,12 Annotation/Artifact,simple/workspace annotations and canonical artifact APIs,③-1,MATCH,annotations.py; artifacts.py; product_closure.py,,V5 removed nonexistent list/history assumptions.
D23-010,23,14 Worker/Runtime Internal Interface,"lease ownership, stage runtime, no public event publisher",③-1,MATCH,repositories.py; worker/runner.py; stage_execution.py,,V5 corrected public claim_token/event assumptions.
D23-011,23,15 CLI,standalone scientific CLI is outside Product persistent lifecycle,③-1,MATCH,pyproject entry points; interfaces/cli modules,,V5 does not invent generic Product CLI.
D23-012,23,16 Idempotency,endpoint-specific Idempotency-Key support,③-1,MATCH,executions.py; graph_versions.py; results.py; projects.py,,V5 explicitly avoids universal idempotency claim.
D23-013,23,17 Contract Versioning,actual schema/version axes,③-1,MATCH,domain schemas; execution_plan.py; analysis_specification.py,,Navigation metadata version is TARGET_CHANGE and excluded.
D30-001,30,2 Current package baseline,current package/module inventory,③-1,MATCH,repository tree at E4 baseline,,V5 replaced invented generic service names with actual package baseline.
D30-002,30,3 AnalysisFamily/StageType/StageDefinition/ResourceRef,domain value-object definitions,③-1,MATCH,enums.py; execution_plan.py; workflow/contracts.py,,Concrete values/fields are self-contained and source-aligned.
D30-003,30,4 Schema Registry/versioned schema,registry and current scientific schema contracts,③-1,MATCH,schemas.py; analysis_specification.py; predictive/validation.py,,Current schema behavior represented.
D30-004,30,5 Canonicalization Algorithm,canonical JSON/hash algorithm,③-1,MATCH,schemas.py,,No direct contradiction.
D30-005,30,6 Research Context,resource/lifecycle and reproducibility boundary,③-1,MATCH,research_context.py; execution submission services,,Current source behavior represented.
D30-006,30,7 Analysis View,persistent contract/validation boundary,③-1,MATCH,analysis_view.py,,"Unlike 21 §5.4.2, 30 does not claim unimplemented logical-type filter validation."
D30-007,30,8 Planner Protocol,PlannerRegistry and family discrimination,③-1,MATCH,workflow/planner_registry.py; family planners,,Current planner protocol represented.
D30-008,30,9 Plan Validator,generic plan validation contract,③-1,MATCH,workflow/plan_validator.py,,Current generic checks represented.
D30-009,30,10 Runner Registry,register/resolve/contains and StageType key,③-1,MATCH,workflow/runner_registry.py,,V5 corrected registry signature.
D30-010,30,11 Executor/Worker,"Execution fields, claim/lease, StageExecution, completion, event policy",③-1,MATCH,execution.py; stage_execution.py; repositories.py; worker/runner.py,,Current persistent lifecycle authority is represented.
D30-011,30,12 Exploratory capability current runtime,current exploratory spec/planner/runner behavior,③-1,MATCH,capabilities/exploratory/*,,Navigation-stage additions within chapter are TARGET_CHANGE and excluded.
D30-012,30,13 Causal capability current runtime,one-operation/one-stage compatibility planner + scientific boundaries,③-1,MATCH,capabilities/causal/workflow.py; scientific validators,,V5 corrected E4 multi-stage runtime assumption.
D30-013,30,14 Predictive capability current runtime,predictive spec/validation/plan split->prepare->train->evaluate->explain,③-1,MATCH,predictive/validation.py; planner.py; training runners,,Current full plan and limitations represented.
D30-014,30,15 Result type/scientific status,current result type/status matrix,③-1,MATCH,result.py; orm_models.py,,Current constraints represented.
D30-015,30,16 Comparison Algorithm,same-family/type comparison behavior,③-1,MATCH,comparison_query_service.py; product_closure_service.py,,Current comparison behavior represented.
D30-016,30,17 Lineage Projection,current authority classifier/projection behavior,③-1,MATCH,domain/lineage.py; lineage query/product closure services,,V5 corrected old phase-based lineage assumptions.
D30-017,30,19 Persistence Mapping current entities,canonical vs compatibility persistence fields,③-1,MATCH,orm_models.py; repositories.py,,Field-level mapping matches source after V5 correction.
D30-018,30,20 Test Design existing contract assertions,tests covering current domain/runtime/API contracts,③-1,PARTIAL_MATCH,tests/; E4 verification artifacts,Case B,Detailed design includes target verification surfaces beyond what can be established as complete E4 implementation; current core contract tests exist but full set is not evidenced.
